class index,filepaths,labels,card type,data set
44,augmented/train/ten of hearts/002_rot90_clean.png,ten of hearts,ten,augmented_train
12,augmented/train/five of hearts/002_rot270_clean.png,five of hearts,five,augmented_train
44,augmented/train/ten of hearts/003_rot270_noisy.png,ten of hearts,ten,augmented_train
0,augmented/train/eight of spades/008_rot270_clean.png,eight of spades,eight,augmented_train
6,augmented/train/three of spades/004_rot90_clean.png,three of spades,three,augmented_train
4,augmented/train/ace of spades/004_rot270_noisy.png,ace of spades,ace,augmented_train
12,augmented/train/five of hearts/003_rot270_noisy.png,five of hearts,five,augmented_train
34,augmented/train/three of hearts/002_rot270_noisy.png,three of hearts,three,augmented_train
25,augmented/train/four of spades/004_rot90_clean.png,four of spades,four,augmented_train
3,augmented/train/jack of spades/002_rot90_noisy.png,jack of spades,jack,augmented_train
15,augmented/train/king of spades/002_rot90_clean.png,king of spades,king,augmented_train
1,augmented/train/king of clubs/003_rot180_noisy.png,king of clubs,king,augmented_train
32,augmented/train/queen of diamonds/002_rot90_noisy.png,queen of diamonds,queen,augmented_train
5,augmented/train/five of diamonds/003_rot90_noisy.png,five of diamonds,five,augmented_train
7,augmented/train/jack of clubs/005_rot270_noisy.png,jack of clubs,jack,augmented_train
46,augmented/train/ace of diamonds/002_rot180_noisy.png,ace of diamonds,ace,augmented_train
17,augmented/train/two of spades/005_rot180_noisy.png,two of spades,two,augmented_train
35,augmented/train/two of hearts/002_rot180_clean.png,two of hearts,two,augmented_train
7,augmented/train/jack of clubs/004_rot270_clean.png,jack of clubs,jack,augmented_train
10,augmented/train/ten of spades/002_rot90_clean.png,ten of spades,ten,augmented_train
44,augmented/train/ten of hearts/004_rot90_clean.png,ten of hearts,ten,augmented_train
11,augmented/train/four of diamonds/003_rot270_clean.png,four of diamonds,four,augmented_train
19,augmented/train/ace of hearts/006_rot180_noisy.png,ace of hearts,ace,augmented_train
9,augmented/train/four of hearts/004_rot270_noisy.png,four of hearts,four,augmented_train
47,augmented/train/five of spades/002_rot180_clean.png,five of spades,five,augmented_train
23,augmented/train/jack of diamonds/003_rot270_clean.png,jack of diamonds,jack,augmented_train
13,augmented/train/eight of hearts/003_rot270_noisy.png,eight of hearts,eight,augmented_train
45,augmented/train/king of hearts/002_rot90_noisy.png,king of hearts,king,augmented_train
46,augmented/train/ace of diamonds/003_rot90_clean.png,ace of diamonds,ace,augmented_train
28,augmented/train/two of diamonds/002_rot90_noisy.png,two of diamonds,two,augmented_train
43,augmented/train/six of clubs/003_rot90_clean.png,six of clubs,six,augmented_train
16,augmented/train/six of hearts/003_rot270_noisy.png,six of hearts,six,augmented_train
49,augmented/train/seven of clubs/001_rot270_clean.png,seven of clubs,seven,augmented_train
13,augmented/train/eight of hearts/004_rot180_clean.png,eight of hearts,eight,augmented_train
7,augmented/train/jack of clubs/006_rot90_clean.png,jack of clubs,jack,augmented_train
44,augmented/train/ten of hearts/005_rot270_noisy.png,ten of hearts,ten,augmented_train
45,augmented/train/king of hearts/003_rot180_clean.png,king of hearts,king,augmented_train
22,augmented/train/king of diamonds/003_rot180_noisy.png,king of diamonds,king,augmented_train
45,augmented/train/king of hearts/004_rot270_clean.png,king of hearts,king,augmented_train
17,augmented/train/two of spades/006_rot270_noisy.png,two of spades,two,augmented_train
48,augmented/train/ace of clubs/001_rot180_clean.png,ace of clubs,ace,augmented_train
1,augmented/train/king of clubs/004_rot270_clean.png,king of clubs,king,augmented_train
37,augmented/train/seven of spades/002_rot270_clean.png,seven of spades,seven,augmented_train
14,augmented/train/ten of diamonds/004_rot180_noisy.png,ten of diamonds,ten,augmented_train
45,augmented/train/king of hearts/005_rot270_noisy.png,king of hearts,king,augmented_train
35,augmented/train/two of hearts/003_rot270_clean.png,two of hearts,two,augmented_train
30,augmented/train/queen of spades/005_rot90_noisy.png,queen of spades,queen,augmented_train
30,augmented/train/queen of spades/003_rot90_noisy.png,queen of spades,queen,augmented_train
14,augmented/train/ten of diamonds/003_rot180_noisy.png,ten of diamonds,ten,augmented_train
50,augmented/train/nine of diamonds/001_rot180_clean.png,nine of diamonds,nine,augmented_train
36,augmented/train/eight of clubs/003_rot270_noisy.png,eight of clubs,eight,augmented_train
37,augmented/train/seven of spades/003_rot90_clean.png,seven of spades,seven,augmented_train
30,augmented/train/queen of spades/004_rot270_clean.png,queen of spades,queen,augmented_train
44,augmented/train/ten of hearts/006_rot270_clean.png,ten of hearts,ten,augmented_train
39,augmented/train/five of clubs/004_rot270_noisy.png,five of clubs,five,augmented_train
27,augmented/train/seven of hearts/004_rot270_noisy.png,seven of hearts,seven,augmented_train
30,augmented/train/queen of spades/006_rot90_clean.png,queen of spades,queen,augmented_train
25,augmented/train/four of spades/005_rot90_noisy.png,four of spades,four,augmented_train
27,augmented/train/seven of hearts/005_rot90_noisy.png,seven of hearts,seven,augmented_train
16,augmented/train/six of hearts/004_rot270_clean.png,six of hearts,six,augmented_train
33,augmented/train/four of clubs/004_rot180_noisy.png,four of clubs,four,augmented_train
51,augmented/train/two of clubs/001_rot180_noisy.png,two of clubs,two,augmented_train
45,augmented/train/king of hearts/006_rot90_noisy.png,king of hearts,king,augmented_train
14,augmented/train/ten of diamonds/005_rot270_noisy.png,ten of diamonds,ten,augmented_train
38,augmented/train/six of spades/003_rot90_clean.png,six of spades,six,augmented_train
39,augmented/train/five of clubs/005_rot270_noisy.png,five of clubs,five,augmented_train
48,augmented/train/ace of clubs/002_rot270_noisy.png,ace of clubs,ace,augmented_train
24,augmented/train/queen of hearts/003_rot180_clean.png,queen of hearts,queen,augmented_train
42,augmented/train/seven of diamonds/002_rot270_clean.png,seven of diamonds,seven,augmented_train
0,augmented/train/eight of spades/009_rot180_clean.png,eight of spades,eight,augmented_train
8,augmented/train/eight of diamonds/003_rot90_clean.png,eight of diamonds,eight,augmented_train
39,augmented/train/five of clubs/006_rot180_noisy.png,five of clubs,five,augmented_train
31,augmented/train/nine of clubs/003_rot90_clean.png,nine of clubs,nine,augmented_train
7,augmented/train/jack of clubs/007_rot270_noisy.png,jack of clubs,jack,augmented_train
15,augmented/train/king of spades/003_rot180_clean.png,king of spades,king,augmented_train
17,augmented/train/two of spades/007_rot180_noisy.png,two of spades,two,augmented_train
15,augmented/train/king of spades/004_rot270_noisy.png,king of spades,king,augmented_train
9,augmented/train/four of hearts/005_rot90_clean.png,four of hearts,four,augmented_train
34,augmented/train/three of hearts/003_rot270_clean.png,three of hearts,three,augmented_train
2,augmented/train/jack of hearts/003_rot90_noisy.png,jack of hearts,jack,augmented_train
3,augmented/train/jack of spades/003_rot180_clean.png,jack of spades,jack,augmented_train
4,augmented/train/ace of spades/005_rot180_clean.png,ace of spades,ace,augmented_train
19,augmented/train/ace of hearts/007_rot90_noisy.png,ace of hearts,ace,augmented_train
43,augmented/train/six of clubs/004_rot180_noisy.png,six of clubs,six,augmented_train
25,augmented/train/four of spades/006_rot180_noisy.png,four of spades,four,augmented_train
52,augmented/train/queen of clubs/001_rot270_clean.png,queen of clubs,queen,augmented_train
27,augmented/train/seven of hearts/006_rot270_clean.png,seven of hearts,seven,augmented_train
3,augmented/train/jack of spades/004_rot180_noisy.png,jack of spades,jack,augmented_train
5,augmented/train/five of diamonds/004_rot90_clean.png,five of diamonds,five,augmented_train
4,augmented/train/ace of spades/006_rot270_noisy.png,ace of spades,ace,augmented_train
22,augmented/train/king of diamonds/004_rot180_clean.png,king of diamonds,king,augmented_train
41,augmented/train/six of diamonds/002_rot270_noisy.png,six of diamonds,six,augmented_train
17,augmented/train/two of spades/008_rot180_noisy.png,two of spades,two,augmented_train
26,augmented/train/ten of clubs/003_rot180_noisy.png,ten of clubs,ten,augmented_train
10,augmented/train/ten of spades/003_rot90_noisy.png,ten of spades,ten,augmented_train
39,augmented/train/five of clubs/007_rot180_clean.png,five of clubs,five,augmented_train
46,augmented/train/ace of diamonds/004_rot90_clean.png,ace of diamonds,ace,augmented_train
8,augmented/train/eight of diamonds/004_rot270_clean.png,eight of diamonds,eight,augmented_train
9,augmented/train/four of hearts/006_rot90_noisy.png,four of hearts,four,augmented_train
4,augmented/train/ace of spades/007_rot180_clean.png,ace of spades,ace,augmented_train
51,augmented/train/two of clubs/002_rot270_clean.png,two of clubs,two,augmented_train
25,augmented/train/four of spades/007_rot90_noisy.png,four of spades,four,augmented_train
39,augmented/train/five of clubs/008_rot270_clean.png,five of clubs,five,augmented_train
47,augmented/train/five of spades/003_rot180_clean.png,five of spades,five,augmented_train
40,augmented/train/three of clubs/002_rot180_clean.png,three of clubs,three,augmented_train
36,augmented/train/eight of clubs/004_rot270_clean.png,eight of clubs,eight,augmented_train
37,augmented/train/seven of spades/004_rot90_noisy.png,seven of spades,seven,augmented_train
8,augmented/train/eight of diamonds/005_rot270_clean.png,eight of diamonds,eight,augmented_train
52,augmented/train/queen of clubs/002_rot270_clean.png,queen of clubs,queen,augmented_train
22,augmented/train/king of diamonds/005_rot180_clean.png,king of diamonds,king,augmented_train
38,augmented/train/six of spades/004_rot180_noisy.png,six of spades,six,augmented_train
4,augmented/train/ace of spades/008_rot90_noisy.png,ace of spades,ace,augmented_train
30,augmented/train/queen of spades/007_rot270_noisy.png,queen of spades,queen,augmented_train
28,augmented/train/two of diamonds/003_rot90_noisy.png,two of diamonds,two,augmented_train
7,augmented/train/jack of clubs/008_rot270_noisy.png,jack of clubs,jack,augmented_train
36,augmented/train/eight of clubs/005_rot270_noisy.png,eight of clubs,eight,augmented_train
13,augmented/train/eight of hearts/005_rot90_clean.png,eight of hearts,eight,augmented_train
9,augmented/train/four of hearts/007_rot90_noisy.png,four of hearts,four,augmented_train
12,augmented/train/five of hearts/004_rot270_clean.png,five of hearts,five,augmented_train
23,augmented/train/jack of diamonds/004_rot90_noisy.png,jack of diamonds,jack,augmented_train
43,augmented/train/six of clubs/005_rot90_noisy.png,six of clubs,six,augmented_train
40,augmented/train/three of clubs/003_rot270_clean.png,three of clubs,three,augmented_train
37,augmented/train/seven of spades/005_rot270_clean.png,seven of spades,seven,augmented_train
42,augmented/train/seven of diamonds/003_rot180_clean.png,seven of diamonds,seven,augmented_train
35,augmented/train/two of hearts/004_rot90_clean.png,two of hearts,two,augmented_train
43,augmented/train/six of clubs/006_rot270_noisy.png,six of clubs,six,augmented_train
15,augmented/train/king of spades/005_rot90_clean.png,king of spades,king,augmented_train
37,augmented/train/seven of spades/006_rot270_noisy.png,seven of spades,seven,augmented_train
29,augmented/train/three of diamonds/002_rot180_clean.png,three of diamonds,three,augmented_train
38,augmented/train/six of spades/005_rot270_clean.png,six of spades,six,augmented_train
19,augmented/train/ace of hearts/008_rot270_noisy.png,ace of hearts,ace,augmented_train
32,augmented/train/queen of diamonds/003_rot180_noisy.png,queen of diamonds,queen,augmented_train
26,augmented/train/ten of clubs/004_rot270_noisy.png,ten of clubs,ten,augmented_train
49,augmented/train/seven of clubs/002_rot180_clean.png,seven of clubs,seven,augmented_train
8,augmented/train/eight of diamonds/006_rot90_clean.png,eight of diamonds,eight,augmented_train
1,augmented/train/king of clubs/005_rot90_noisy.png,king of clubs,king,augmented_train
30,augmented/train/queen of spades/008_rot90_clean.png,queen of spades,queen,augmented_train
23,augmented/train/jack of diamonds/005_rot90_noisy.png,jack of diamonds,jack,augmented_train
43,augmented/train/six of clubs/007_rot270_noisy.png,six of clubs,six,augmented_train
22,augmented/train/king of diamonds/006_rot270_noisy.png,king of diamonds,king,augmented_train
5,augmented/train/five of diamonds/005_rot180_noisy.png,five of diamonds,five,augmented_train
10,augmented/train/ten of spades/004_rot90_clean.png,ten of spades,ten,augmented_train
44,augmented/train/ten of hearts/007_rot180_clean.png,ten of hearts,ten,augmented_train
3,augmented/train/jack of spades/006_rot90_clean.png,jack of spades,jack,augmented_train
3,augmented/train/jack of spades/005_rot180_noisy.png,jack of spades,jack,augmented_train
16,augmented/train/six of hearts/005_rot90_noisy.png,six of hearts,six,augmented_train
12,augmented/train/five of hearts/005_rot180_clean.png,five of hearts,five,augmented_train
27,augmented/train/seven of hearts/007_rot180_noisy.png,seven of hearts,seven,augmented_train
26,augmented/train/ten of clubs/005_rot270_noisy.png,ten of clubs,ten,augmented_train
5,augmented/train/five of diamonds/006_rot180_noisy.png,five of diamonds,five,augmented_train
35,augmented/train/two of hearts/005_rot180_noisy.png,two of hearts,two,augmented_train
45,augmented/train/king of hearts/007_rot270_noisy.png,king of hearts,king,augmented_train
18,augmented/train/nine of spades/007_rot90_clean.png,nine of spades,nine,augmented_train
9,augmented/train/four of hearts/008_rot270_noisy.png,four of hearts,four,augmented_train
24,augmented/train/queen of hearts/004_rot180_clean.png,queen of hearts,queen,augmented_train
41,augmented/train/six of diamonds/003_rot270_clean.png,six of diamonds,six,augmented_train
14,augmented/train/ten of diamonds/007_rot90_clean.png,ten of diamonds,ten,augmented_train
30,augmented/train/queen of spades/009_rot180_clean.png,queen of spades,queen,augmented_train
14,augmented/train/ten of diamonds/006_rot90_noisy.png,ten of diamonds,ten,augmented_train
37,augmented/train/seven of spades/007_rot180_noisy.png,seven of spades,seven,augmented_train
5,augmented/train/five of diamonds/007_rot90_clean.png,five of diamonds,five,augmented_train
45,augmented/train/king of hearts/008_rot90_clean.png,king of hearts,king,augmented_train
7,augmented/train/jack of clubs/009_rot180_clean.png,jack of clubs,jack,augmented_train
3,augmented/train/jack of spades/007_rot90_clean.png,jack of spades,jack,augmented_train
27,augmented/train/seven of hearts/008_rot180_noisy.png,seven of hearts,seven,augmented_train
23,augmented/train/jack of diamonds/006_rot270_noisy.png,jack of diamonds,jack,augmented_train
26,augmented/train/ten of clubs/006_rot90_clean.png,ten of clubs,ten,augmented_train
43,augmented/train/six of clubs/008_rot90_clean.png,six of clubs,six,augmented_train
2,augmented/train/jack of hearts/004_rot90_clean.png,jack of hearts,jack,augmented_train
26,augmented/train/ten of clubs/007_rot180_clean.png,ten of clubs,ten,augmented_train
37,augmented/train/seven of spades/008_rot180_noisy.png,seven of spades,seven,augmented_train
34,augmented/train/three of hearts/004_rot180_noisy.png,three of hearts,three,augmented_train
33,augmented/train/four of clubs/005_rot180_noisy.png,four of clubs,four,augmented_train
13,augmented/train/eight of hearts/006_rot180_noisy.png,eight of hearts,eight,augmented_train
18,augmented/train/nine of spades/008_rot90_clean.png,nine of spades,nine,augmented_train
16,augmented/train/six of hearts/006_rot270_noisy.png,six of hearts,six,augmented_train
20,augmented/train/nine of hearts/003_rot90_clean.png,nine of hearts,nine,augmented_train
25,augmented/train/four of spades/008_rot90_noisy.png,four of spades,four,augmented_train
3,augmented/train/jack of spades/008_rot90_noisy.png,jack of spades,jack,augmented_train
42,augmented/train/seven of diamonds/005_rot270_clean.png,seven of diamonds,seven,augmented_train
5,augmented/train/five of diamonds/008_rot90_clean.png,five of diamonds,five,augmented_train
35,augmented/train/two of hearts/006_rot180_noisy.png,two of hearts,two,augmented_train
33,augmented/train/four of clubs/006_rot270_clean.png,four of clubs,four,augmented_train
11,augmented/train/four of diamonds/004_rot90_noisy.png,four of diamonds,four,augmented_train
15,augmented/train/king of spades/006_rot90_noisy.png,king of spades,king,augmented_train
42,augmented/train/seven of diamonds/004_rot180_clean.png,seven of diamonds,seven,augmented_train
6,augmented/train/three of spades/005_rot90_clean.png,three of spades,three,augmented_train
43,augmented/train/six of clubs/009_rot180_clean.png,six of clubs,six,augmented_train
3,augmented/train/jack of spades/009_rot90_noisy.png,jack of spades,jack,augmented_train
35,augmented/train/two of hearts/008_rot270_noisy.png,two of hearts,two,augmented_train
3,augmented/train/jack of spades/010_rot180_noisy.png,jack of spades,jack,augmented_train
35,augmented/train/two of hearts/007_rot90_clean.png,two of hearts,two,augmented_train
37,augmented/train/seven of spades/009_rot90_noisy.png,seven of spades,seven,augmented_train
14,augmented/train/ten of diamonds/008_rot90_clean.png,ten of diamonds,ten,augmented_train
15,augmented/train/king of spades/007_rot270_noisy.png,king of spades,king,augmented_train
26,augmented/train/ten of clubs/008_rot180_clean.png,ten of clubs,ten,augmented_train
14,augmented/train/ten of diamonds/009_rot270_clean.png,ten of diamonds,ten,augmented_train
1,augmented/train/king of clubs/006_rot180_noisy.png,king of clubs,king,augmented_train
17,augmented/train/two of spades/009_rot270_clean.png,two of spades,two,augmented_train
12,augmented/train/five of hearts/006_rot90_clean.png,five of hearts,five,augmented_train
46,augmented/train/ace of diamonds/005_rot180_clean.png,ace of diamonds,ace,augmented_train
5,augmented/train/five of diamonds/009_rot180_clean.png,five of diamonds,five,augmented_train
47,augmented/train/five of spades/004_rot90_noisy.png,five of spades,five,augmented_train
27,augmented/train/seven of hearts/009_rot180_clean.png,seven of hearts,seven,augmented_train
33,augmented/train/four of clubs/007_rot270_noisy.png,four of clubs,four,augmented_train
24,augmented/train/queen of hearts/005_rot90_clean.png,queen of hearts,queen,augmented_train
40,augmented/train/three of clubs/004_rot270_noisy.png,three of clubs,three,augmented_train
32,augmented/train/queen of diamonds/004_rot90_noisy.png,queen of diamonds,queen,augmented_train
21,augmented/train/joker/002_rot270_clean.png,joker,joker,augmented_train
39,augmented/train/five of clubs/009_rot180_clean.png,five of clubs,five,augmented_train
30,augmented/train/queen of spades/010_rot90_noisy.png,queen of spades,queen,augmented_train
19,augmented/train/ace of hearts/009_rot90_noisy.png,ace of hearts,ace,augmented_train
15,augmented/train/king of spades/008_rot90_noisy.png,king of spades,king,augmented_train
50,augmented/train/nine of diamonds/002_rot180_clean.png,nine of diamonds,nine,augmented_train
23,augmented/train/jack of diamonds/007_rot270_clean.png,jack of diamonds,jack,augmented_train
28,augmented/train/two of diamonds/004_rot270_clean.png,two of diamonds,two,augmented_train
45,augmented/train/king of hearts/009_rot180_noisy.png,king of hearts,king,augmented_train
41,augmented/train/six of diamonds/004_rot180_noisy.png,six of diamonds,six,augmented_train
0,augmented/train/eight of spades/010_rot180_clean.png,eight of spades,eight,augmented_train
9,augmented/train/four of hearts/009_rot180_noisy.png,four of hearts,four,augmented_train
7,augmented/train/jack of clubs/010_rot180_noisy.png,jack of clubs,jack,augmented_train
37,augmented/train/seven of spades/010_rot90_noisy.png,seven of spades,seven,augmented_train
41,augmented/train/six of diamonds/005_rot90_clean.png,six of diamonds,six,augmented_train
42,augmented/train/seven of diamonds/006_rot180_noisy.png,seven of diamonds,seven,augmented_train
35,augmented/train/two of hearts/009_rot270_noisy.png,two of hearts,two,augmented_train
39,augmented/train/five of clubs/010_rot90_clean.png,five of clubs,five,augmented_train
48,augmented/train/ace of clubs/003_rot90_noisy.png,ace of clubs,ace,augmented_train
29,augmented/train/three of diamonds/003_rot270_clean.png,three of diamonds,three,augmented_train
20,augmented/train/nine of hearts/004_rot270_noisy.png,nine of hearts,nine,augmented_train
24,augmented/train/queen of hearts/006_rot90_clean.png,queen of hearts,queen,augmented_train
36,augmented/train/eight of clubs/006_rot90_clean.png,eight of clubs,eight,augmented_train
4,augmented/train/ace of spades/009_rot90_clean.png,ace of spades,ace,augmented_train
14,augmented/train/ten of diamonds/010_rot180_clean.png,ten of diamonds,ten,augmented_train
24,augmented/train/queen of hearts/007_rot270_noisy.png,queen of hearts,queen,augmented_train
16,augmented/train/six of hearts/007_rot180_clean.png,six of hearts,six,augmented_train
12,augmented/train/five of hearts/007_rot270_noisy.png,five of hearts,five,augmented_train
39,augmented/train/five of clubs/011_rot180_noisy.png,five of clubs,five,augmented_train
43,augmented/train/six of clubs/010_rot90_clean.png,six of clubs,six,augmented_train
45,augmented/train/king of hearts/010_rot90_clean.png,king of hearts,king,augmented_train
3,augmented/train/jack of spades/011_rot90_noisy.png,jack of spades,jack,augmented_train
8,augmented/train/eight of diamonds/008_rot180_clean.png,eight of diamonds,eight,augmented_train
